survey_id,comment_text,sentiment_label
SRV1038,Nội dung mon hoc kho,Tich Cuc
SRV1044,Thay co  cham bai ky,Tich  Cuc
SRV1079,Giang vien day de hieu,Tich  Cuc
SRV1014,Bài giảng hơi nhanh,Tich  Cuc
SRV1099,Nội dung mon hoc kho,Tich Cuc
SRV1060,,Trung Lap
SRV1018,Nội dung mon hoc kho,Không xác định
SRV1063,Nội dung mon hoc kho,Tiêu Cực
SRV1023,Thay co  cham bai ky,Không xác định
SRV1039,Nội dung mon hoc kho,Trung Lap
SRV1008,Thay co  cham bai ky,Tich Cuc
SRV1110,,Trung Lập
SRV1023,Giang vien day de hieu,Trung Lập
SRV1094,Thay co  cham bai ky,Trung Lap
SRV1073,Thay co  cham bai ky,Tiêu Cực
SRV1030,Thay co  cham bai ky,Tieu Cuc
SRV1039,Bài giảng hơi nhanh,Không xác định
SRV1107,Thay co  cham bai ky,Trung Lập
SRV1105,Giang vien day de hieu,Trung Lap
SRV1057,Bài giảng hơi nhanh,Tích Cực
SRV1046,Giang vien day de hieu,Trung Lap
SRV1040,Bài giảng hơi nhanh,Không xác định
SRV1082,Giang vien day de hieu,Tích Cực
SRV1107,Thay co  cham bai ky,Tich Cuc
SRV1045,,Tich  Cuc
SRV1106,Bài giảng hơi nhanh,Tich Cuc
SRV1109,Nội dung mon hoc kho,Tieu Cuc
SRV1017,Bài giảng hơi nhanh,Không xác định
SRV1010,Giang vien day de hieu,Tich Cuc
SRV1050,Bài giảng hơi nhanh,Tích Cực
SRV1035,Giang vien day de hieu,Tich Cuc
SRV1067,Giang vien day de hieu,Tieu Cuc
SRV1053,Nội dung mon hoc kho,Tiêu Cực
SRV1018,Bài giảng hơi nhanh,Trung Lập
SRV1075,Giang vien day de hieu,Trung Lập
SRV1082,Nội dung mon hoc kho,Không xác định
SRV1065,,Không xác định
SRV1103,Thay co  cham bai ky,Không xác định
SRV1068,Thay co  cham bai ky,Trung Lập
SRV1095,Thay co  cham bai ky,Trung Lập
SRV1103,,Trung Lap
SRV1004,Giang vien day de hieu,Tieu Cuc
SRV1087,,Không xác định
SRV1091,Thay co  cham bai ky,Tích Cực
SRV1062,Giang vien day de hieu,Không xác định
SRV1048,Giang vien day de hieu,Tiêu Cực
SRV1117,Nội dung mon hoc kho,Tich  Cuc
SRV1109,Giang vien day de hieu,Tiêu Cực
SRV1010,Bài giảng hơi nhanh,Tích Cực
SRV1058,,Tich  Cuc
SRV1018,Nội dung mon hoc kho,Không xác định
SRV1050,,Tich  Cuc
SRV1021,Nội dung mon hoc kho,Tich  Cuc
SRV1008,Bài giảng hơi nhanh,Trung Lap
SRV1000,Giang vien day de hieu,Tieu Cuc
SRV1044,Giang vien day de hieu,Tich  Cuc
SRV1051,Nội dung mon hoc kho,Tích Cực
SRV1079,Giang vien day de hieu,Tich Cuc
SRV1052,Giang vien day de hieu,Tích Cực
SRV1070,Thay co  cham bai ky,Tiêu Cực
SRV1013,Nội dung mon hoc kho,Tieu Cuc
SRV1028,Giang vien day de hieu,Tích Cực
SRV1096,,Không xác định
SRV1000,Bài giảng hơi nhanh,Tich Cuc
SRV1052,Giang vien day de hieu,Không xác định
SRV1043,Bài giảng hơi nhanh,Trung Lap
SRV1025,Nội dung mon hoc kho,Trung Lập
SRV1013,Bài giảng hơi nhanh,Tieu Cuc
SRV1085,Nội dung mon hoc kho,Tich Cuc
SRV1022,,Trung Lap
SRV1080,,Tich  Cuc
SRV1083,Thay co  cham bai ky,Tich Cuc
SRV1005,,Không xác định
SRV1098,Thay co  cham bai ky,Tích Cực
SRV1062,Nội dung mon hoc kho,Tieu Cuc
SRV1114,Giang vien day de hieu,Không xác định
SRV1040,Nội dung mon hoc kho,Trung Lập
SRV1091,Bài giảng hơi nhanh,Tiêu Cực
SRV1012,Thay co  cham bai ky,Tich  Cuc
SRV1064,Bài giảng hơi nhanh,Tiêu Cực
SRV1096,Nội dung mon hoc kho,Không xác định
SRV1046,Nội dung mon hoc kho,Tieu Cuc
SRV1041,Nội dung mon hoc kho,Tiêu Cực
SRV1076,Bài giảng hơi nhanh,Trung Lập
SRV1043,Bài giảng hơi nhanh,Tich  Cuc
SRV1060,Nội dung mon hoc kho,Tích Cực
SRV1074,Giang vien day de hieu,Tiêu Cực
SRV1014,Thay co  cham bai ky,Tich  Cuc
SRV1112,Nội dung mon hoc kho,Tích Cực
SRV1015,Bài giảng hơi nhanh,Tích Cực
