survey_id,faculty_id,course_code,student_level,rating_score,survey_term
SRV1000,GV106,DA200,nam  2, 3.5 , 2024-2 
SRV1001, GV120,CT 102,Liên thông,7.0,HK1- 2024
SRV1002, GV111, CT101,Liên thông, 3.5 ,HK1- 2024
SRV1003,gv123,CT101,K18,7.0, 2024-2 
SRV1004, GV105, da200,Năm 1, 3.5 ,2024-1
SRV1005,GV118,CT101,K17,8.0,2024-1
SRV1006,GV107 , da200,Liên thông,3.5, 2024-2 
SRV1007, GV108,FIN101,nam  2,"4,0",2024-1
SRV1008, GV111,ct103 ,k17 ,4.0,2024-1
SRV1009, GV111,FIN101,Nam 1,"8,5",HK1- 2024
SRV1010,GV112 ,CT101,Năm 1,5.0,HK1-2024
SRV1011, GV122, CT101,K17,4.5, 2024-2 
SRV1012, GV120,FIN101,nam  2,5.0,HK1- 2024
SRV1013,GV100 , da200,Nam 1,5.0,HK1- 2024
SRV1014, GV117, da200,k17 , 3.5 ,HK1-2024
SRV1015, GV105,DA200,nam  2,"8,5", 2024-2 
SRV1016, GV108,DA200,Lien thong, 3.5 , 2024-2 
SRV1017,gv101, da200,K17,7.0,HK1- 2024
SRV1018,gv123, fin101,nam  2,3.5, 2024-2 
SRV1019,GV121,CT 102,K17,4.5,HK1-2024
SRV1020,gv104,CT 102,k17 ,3.5,HK1-2024
SRV1021,GV107 ,CT 102,Nam 1,5.0,HK1-2024
SRV1022,GV107 ,DA200,K17,8.0,2024-1
SRV1023,gv104,CT 102,Liên thông,4.0,2024-1
SRV1024, GV110,CT101,Lien thong,7.0,2024-1
SRV1025,GV114,FIN101,K17,4.5,2024-1
SRV1026,gv119,DA200,K18,4.5,2024-1
SRV1027, GV110,FIN101,K18,"8,5",HK1- 2024
SRV1028, GV122, fin101,nam  2, 3.5 ,HK1- 2024
SRV1029, GV117, da200,Liên thông,3.5, 2024-2 
SRV1030, GV111,CT101,K17,"8,5",2024-1
SRV1031, GV113,DA200,K18,5.0,2024-1
SRV1032, GV105, CT101,k17 ,5.0,HK1- 2024
SRV1033, GV122,ct103 ,Liên thông,4.5,HK1-2024
SRV1034, GV115, fin101,K18,"8,5",HK1- 2024
SRV1035, GV108, fin101,K17,4.5, 2024-2 
SRV1036,GV112 ,CT 102,Năm 2,8.0,HK1-2024
SRV1037, GV113,ct103 ,K17,"8,5",2024-1
SRV1038,GV112 , da200,K17,5.0, 2024-2 
SRV1039,GV118,CT101,Nam 1,"8,5",HK1-2024
SRV1040,gv123, fin101,Lien thong,3.5,2024-1
SRV1041,GV106,FIN101,Năm 1,4.5, 2024-2 
SRV1042,gv101, CT101,nam  2,8.0,HK1-2024
SRV1043,GV118, fin101,Năm 2,8.0,HK1-2024
SRV1044,GV102 , da200,Lien thong,8.0, 2024-2 
SRV1045, GV108,CT 102,Lien thong,8.0, 2024-2 
SRV1046, GV110, CT101,Năm 2,"4,0",2024-1
SRV1047, GV122, CT101,Năm 1,7.0,2024-1
SRV1048, GV115, da200,Năm 2,7.0, 2024-2 
SRV1049, GV120,CT101,Liên thông,8.0,HK1- 2024
SRV1050,GV121, CT101,Nam 1, 3.5 , 2024-2 
SRV1051,GV112 ,FIN101,Nam 1,8.0,HK1- 2024
SRV1052,gv123, da200,nam  2,4.0,HK1-2024
SRV1053,GV102 , da200,K17,4.5,2024-1
SRV1054,GV114, fin101,K18,3.5,HK1- 2024
SRV1055,gv123, da200,Năm 1,4.0,2024-1
SRV1056, GV120, CT101,K18,4.0,HK1- 2024
SRV1057,GV118,ct103 ,K17, 3.5 ,HK1-2024
SRV1058, GV111,CT 102,Liên thông,5.0,HK1-2024
SRV1059,gv104,FIN101,Liên thông,"4,0", 2024-2 
SRV1060,GV107 , CT101,Lien thong,8.0,2024-1
SRV1061, GV116,CT 102,K18,7.0,HK1- 2024
SRV1062,gv123, da200,Năm 1,5.0, 2024-2 
SRV1063, GV111,CT 102,nam  2,"4,0", 2024-2 
SRV1064, GV120,DA200,Năm 2, 3.5 , 2024-2 
SRV1065,GV107 ,CT101,Nam 1,"8,5",2024-1
SRV1066,gv104,CT101,K18,4.5,2024-1
SRV1067,gv123,CT101,k17 ,"4,0", 2024-2 
SRV1068, GV122,DA200,K17,3.5,HK1-2024
SRV1069, GV117,ct103 ,Nam 1,7.0,HK1- 2024
SRV1070,gv101, fin101,Nam 1,5.0, 2024-2 
SRV1071, GV111,CT 102,Lien thong,8.0,2024-1
SRV1072, GV122, fin101,Nam 1,5.0,HK1-2024
SRV1073,GV114,DA200,K18,3.5,HK1-2024
SRV1074,GV112 , CT101,nam  2,4.0,HK1-2024
SRV1075,GV124,CT101,nam  2,"4,0", 2024-2 
SRV1076, GV110, fin101,Liên thông,3.5, 2024-2 
SRV1077,GV121,ct103 ,Nam 1,4.0, 2024-2 
SRV1078,gv104,DA200,Liên thông,8.0, 2024-2 
SRV1079,gv119,ct103 ,K17,5.0,2024-1
SRV1080,gv104,DA200,Liên thông,3.5,HK1-2024
SRV1081, GV117,CT101,Năm 1,4.5,HK1-2024
SRV1082, GV117, da200,Năm 1,4.5,HK1- 2024
SRV1083,GV100 ,DA200,Nam 1,"4,0",2024-1
SRV1084,GV112 ,FIN101,nam  2,5.0,HK1-2024
SRV1085,GV114,ct103 ,Liên thông,4.5,2024-1
SRV1086, GV105,CT101,Nam 1,3.5,HK1-2024
SRV1087, GV111,CT101,Năm 2,5.0,HK1- 2024
SRV1088,gv123, CT101,k17 ,4.5, 2024-2 
SRV1089,GV114,CT101,Năm 2,"8,5",2024-1
SRV1090,gv101,CT101,Nam 1,"8,5",HK1- 2024
SRV1091, GV117,ct103 ,Năm 2, 3.5 ,2024-1
SRV1092,gv119,CT101,Nam 1, 3.5 ,2024-1
SRV1093,GV102 , da200,K18,3.5,HK1-2024
SRV1094, GV110,CT101,Năm 1,4.5,HK1- 2024
SRV1095,gv123,ct103 ,Năm 1,4.5,HK1-2024
SRV1096, GV105, CT101,Năm 1,4.5,2024-1
SRV1097, GV113,CT101,Lien thong,3.5, 2024-2 
SRV1098, GV111,CT101,Lien thong,7.0,HK1-2024
SRV1099,gv119,DA200,K18,7.0,HK1- 2024
SRV1100,GV118,DA200,Năm 1,8.0,2024-1
SRV1101,GV114,CT 102,Năm 2,4.5,HK1- 2024
SRV1102,GV124,CT 102,Lien thong,"4,0", 2024-2 
SRV1103,GV107 ,CT 102,Năm 1,8.0,2024-1
SRV1104,GV114,ct103 ,Năm 1,4.0,HK1- 2024
SRV1105,GV100 ,CT101,K17,4.0, 2024-2 
SRV1106,GV124, da200,Nam 1,"4,0",2024-1
SRV1107,GV103, CT101,Liên thông,5.0,2024-1
SRV1108,GV124,CT101,Lien thong,3.5,HK1-2024
