survey_id,faculty_id,course_code,student_level,rating_score,survey_term
SRV1000,GV106,DA200,nam  2,3.5,2024-2
SRV1002, GV111,CT101,liên thông,3.5,HK1- 2024
SRV1004, GV105,DA200,năm 1,3.5,2024-1
SRV1006,GV107 ,DA200,liên thông,3.5,2024-2
SRV1008, GV111,CT103,k17,4.0,2024-1
SRV1010,GV112 ,CT101,năm 1,5.0,HK1-2024
SRV1011, GV122,CT101,k17,4.5,2024-2
SRV1012, GV120,FIN101,nam  2,5.0,HK1- 2024
SRV1013,GV100 ,DA200,nam 1,5.0,HK1- 2024
SRV1014, GV117,DA200,k17,3.5,HK1-2024
SRV1016, GV108,DA200,lien thong,3.5,2024-2
SRV1018,gv123,FIN101,nam  2,3.5,2024-2
SRV1019,GV121,CT 102,k17,4.5,HK1-2024
SRV1020,gv104,CT 102,k17,3.5,HK1-2024
SRV1021,GV107 ,CT 102,nam 1,5.0,HK1-2024
SRV1023,gv104,CT 102,liên thông,4.0,2024-1
SRV1025,GV114,FIN101,k17,4.5,2024-1
SRV1026,gv119,DA200,k18,4.5,2024-1
SRV1028, GV122,FIN101,nam  2,3.5,HK1- 2024
SRV1029, GV117,DA200,liên thông,3.5,2024-2
SRV1031, GV113,DA200,k18,5.0,2024-1
SRV1032, GV105,CT101,k17,5.0,HK1- 2024
SRV1033, GV122,CT103,liên thông,4.5,HK1-2024
SRV1035, GV108,FIN101,k17,4.5,2024-2
SRV1038,GV112 ,DA200,k17,5.0,2024-2
SRV1040,gv123,FIN101,lien thong,3.5,2024-1
SRV1041,GV106,FIN101,năm 1,4.5,2024-2
SRV1050,GV121,CT101,nam 1,3.5,2024-2
SRV1052,gv123,DA200,nam  2,4.0,HK1-2024
SRV1053,GV102 ,DA200,k17,4.5,2024-1
SRV1054,GV114,FIN101,k18,3.5,HK1- 2024
SRV1055,gv123,DA200,năm 1,4.0,2024-1
SRV1056, GV120,CT101,k18,4.0,HK1- 2024
SRV1057,GV118,CT103,k17,3.5,HK1-2024
SRV1058, GV111,CT 102,liên thông,5.0,HK1-2024
SRV1062,gv123,DA200,năm 1,5.0,2024-2
SRV1064, GV120,DA200,năm 2,3.5,2024-2
SRV1066,gv104,CT101,k18,4.5,2024-1
SRV1068, GV122,DA200,k17,3.5,HK1-2024
SRV1070,gv101,FIN101,nam 1,5.0,2024-2
SRV1072, GV122,FIN101,nam 1,5.0,HK1-2024
SRV1073,GV114,DA200,k18,3.5,HK1-2024
SRV1074,GV112 ,CT101,nam  2,4.0,HK1-2024
SRV1076, GV110,FIN101,liên thông,3.5,2024-2
SRV1077,GV121,CT103,nam 1,4.0,2024-2
SRV1079,gv119,CT103,k17,5.0,2024-1
SRV1080,gv104,DA200,liên thông,3.5,HK1-2024
SRV1081, GV117,CT101,năm 1,4.5,HK1-2024
SRV1082, GV117,DA200,năm 1,4.5,HK1- 2024
SRV1084,GV112 ,FIN101,nam  2,5.0,HK1-2024
SRV1085,GV114,CT103,liên thông,4.5,2024-1
SRV1086, GV105,CT101,nam 1,3.5,HK1-2024
SRV1087, GV111,CT101,năm 2,5.0,HK1- 2024
SRV1088,gv123,CT101,k17,4.5,2024-2
SRV1091, GV117,CT103,năm 2,3.5,2024-1
SRV1092,gv119,CT101,nam 1,3.5,2024-1
SRV1093,GV102 ,DA200,k18,3.5,HK1-2024
SRV1094, GV110,CT101,năm 1,4.5,HK1- 2024
SRV1095,gv123,CT103,năm 1,4.5,HK1-2024
SRV1096, GV105,CT101,năm 1,4.5,2024-1
SRV1097, GV113,CT101,lien thong,3.5,2024-2
SRV1101,GV114,CT 102,năm 2,4.5,HK1- 2024
SRV1104,GV114,CT103,năm 1,4.0,HK1- 2024
SRV1105,GV100 ,CT101,k17,4.0,2024-2
SRV1107,GV103,CT101,liên thông,5.0,2024-1
SRV1108,GV124,CT101,lien thong,3.5,HK1-2024
SRV1115, GV105,FIN101,năm 1,3.5,2024-1
SRV1116,GV118,CT 102,năm 1,3.5,HK1-2024
SRV1117, GV108,DA200,năm 2,4.0,2024-1
SRV1118,GV118,DA200,k18,3.5,2024-1
