survey_id,comment_text,sentiment_label
SRV1038,Nội dung mon hoc kho,Tich cuc
SRV1044,Thay co  cham bai ky ,tich  cuc
SRV1079,Giang vien day de hieu,tich  cuc
SRV1014,  Bài giảng hơi nhanh,tich  cuc
SRV1099,Nội dung mon hoc kho,Tich cuc
SRV1060,,Trung lap
SRV1018,Nội dung mon hoc kho,
SRV1063,Nội dung mon hoc kho,Tiêu cực
SRV1023,Thay co  cham bai ky ,
SRV1039,Nội dung mon hoc kho,Trung lap
SRV1008,Thay co  cham bai ky ,Tich cuc
SRV1110,,Trung lập
SRV1023,Giang vien day de hieu,Trung lập
SRV1094,Thay co  cham bai ky ,Trung lap
SRV1073,Thay co  cham bai ky ,Tiêu cực
SRV1030,Thay co  cham bai ky ,Tieu cuc
SRV1039,  Bài giảng hơi nhanh,
SRV1107,Thay co  cham bai ky ,Trung lập
SRV1105,Giang vien day de hieu,Trung lap
SRV1057,  Bài giảng hơi nhanh,Tích cực
SRV1046,Giang vien day de hieu,Trung lap
SRV1040,  Bài giảng hơi nhanh,
SRV1082,Giang vien day de hieu,Tích cực
SRV1107,Thay co  cham bai ky ,Tich cuc
SRV1045,,tich  cuc
SRV1106,  Bài giảng hơi nhanh,Tich cuc
SRV1109,Nội dung mon hoc kho,Tieu cuc
SRV1017,  Bài giảng hơi nhanh,
SRV1010,Giang vien day de hieu,Tich cuc
SRV1050,  Bài giảng hơi nhanh,Tích cực
SRV1035,Giang vien day de hieu,Tich cuc
SRV1067,Giang vien day de hieu,Tieu cuc
SRV1053,Nội dung mon hoc kho,Tiêu cực
SRV1018,  Bài giảng hơi nhanh,Trung lập
SRV1075,Giang vien day de hieu,Trung lập
SRV1082,Nội dung mon hoc kho,
SRV1065,,
SRV1103,Thay co  cham bai ky ,
SRV1068,Thay co  cham bai ky ,Trung lập
SRV1095,Thay co  cham bai ky ,Trung lập
SRV1103,,Trung lap
SRV1004,Giang vien day de hieu,Tieu cuc
SRV1087,,
SRV1091,Thay co  cham bai ky ,Tích cực
SRV1062,Giang vien day de hieu,
SRV1048,Giang vien day de hieu,Tiêu cực
SRV1117,Nội dung mon hoc kho,tich  cuc
SRV1109,Giang vien day de hieu,Tiêu cực
SRV1010,  Bài giảng hơi nhanh,Tích cực
SRV1058,,tich  cuc
SRV1018,Nội dung mon hoc kho,
SRV1050,,tich  cuc
SRV1021,Nội dung mon hoc kho,tich  cuc
SRV1008,  Bài giảng hơi nhanh,Trung lap
SRV1000,Giang vien day de hieu,Tieu cuc
SRV1044,Giang vien day de hieu,tich  cuc
SRV1051,Nội dung mon hoc kho,Tích cực
SRV1079,Giang vien day de hieu,Tich cuc
SRV1052,Giang vien day de hieu,Tích cực
SRV1070,Thay co  cham bai ky ,Tiêu cực
SRV1013,Nội dung mon hoc kho,Tieu cuc
SRV1028,Giang vien day de hieu,Tích cực
SRV1096,,
SRV1000,  Bài giảng hơi nhanh,Tich cuc
SRV1052,Giang vien day de hieu,
SRV1043,  Bài giảng hơi nhanh,Trung lap
SRV1025,Nội dung mon hoc kho,Trung lập
SRV1013,  Bài giảng hơi nhanh,Tieu cuc
SRV1085,Nội dung mon hoc kho,Tich cuc
SRV1022,,Trung lap
SRV1080,,tich  cuc
SRV1083,Thay co  cham bai ky ,Tich cuc
SRV1005,,
SRV1098,Thay co  cham bai ky ,Tích cực
SRV1062,Nội dung mon hoc kho,Tieu cuc
SRV1114,Giang vien day de hieu,
SRV1040,Nội dung mon hoc kho,Trung lập
SRV1091,  Bài giảng hơi nhanh,Tiêu cực
SRV1012,Thay co  cham bai ky ,tich  cuc
SRV1064,  Bài giảng hơi nhanh,Tiêu cực
SRV1096,Nội dung mon hoc kho,
SRV1046,Nội dung mon hoc kho,Tieu cuc
SRV1041,Nội dung mon hoc kho,Tiêu cực
SRV1076,  Bài giảng hơi nhanh,Trung lập
SRV1043,  Bài giảng hơi nhanh,tich  cuc
SRV1060,Nội dung mon hoc kho,Tích cực
SRV1074,Giang vien day de hieu,Tiêu cực
SRV1014,Thay co  cham bai ky ,tich  cuc
SRV1112,Nội dung mon hoc kho,Tích cực
SRV1015,  Bài giảng hơi nhanh,Tích cực
